Price Resolution OpticalZoom DigitalZoom Weight StorageIncluded
0.166666666667 0.166666666667 0.166666666667 0.166666666667 0.166666666667 0.166666666667
0.222222222222 0.0555555555556 0.222222222222 0.222222222222 0.222222222222 0.0555555555556
0.121212121212 0.121212121212 0.121212121212 0.121212121212 0.484848484848 0.030303030303
0.172043010753 0.0430107526882 0.0430107526882 0.0430107526882 0.688172043011 0.010752688172
0.0561403508772 0.0140350877193 0.0140350877193 0.0140350877193 0.898245614035 0.00350877192982
0.0538720538721 0.013468013468 0.0538720538721 0.013468013468 0.861952861953 0.003367003367
0.179271708683 0.0112044817927 0.0448179271709 0.0448179271709 0.717086834734 0.00280112044818
0.153477218225 0.0383693045564 0.153477218225 0.0383693045564 0.613908872902 0.00239808153477
0.166666666667 0.166666666667 0.166666666667 0.166666666667 0.166666666667 0.166666666667
0.0555555555556 0.222222222222 0.222222222222 0.222222222222 0.0555555555556 0.222222222222
0.166666666667 0.166666666667 0.166666666667 0.166666666667 0.166666666667 0.166666666667
0.0666666666667 0.266666666667 0.266666666667 0.266666666667 0.0666666666667 0.0666666666667
0.166666666667 0.166666666667 0.166666666667 0.166666666667 0.166666666667 0.166666666667
0.0555555555556 0.222222222222 0.222222222222 0.222222222222 0.0555555555556 0.222222222222
0.166666666667 0.166666666667 0.166666666667 0.166666666667 0.166666666667 0.166666666667
