Price Resolution OpticalZoom DigitalZoom Weight StorageIncluded
0.166666666667 0.166666666667 0.166666666667 0.166666666667 0.166666666667 0.166666666667
0.190476190476 0.190476190476 0.047619047619 0.190476190476 0.190476190476 0.190476190476
0.190476190476 0.190476190476 0.047619047619 0.190476190476 0.190476190476 0.190476190476
0.280701754386 0.0701754385965 0.0175438596491 0.280701754386 0.280701754386 0.0701754385965
0.124031007752 0.124031007752 0.0077519379845 0.496124031008 0.124031007752 0.124031007752
0.0383693045564 0.153477218225 0.00239808153477 0.613908872902 0.0383693045564 0.153477218225
0.0384384384384 0.153753753754 0.000600600600601 0.615015015015 0.0384384384384 0.153753753754
0.0449359311919 0.0449359311919 0.000175530981218 0.71897489907 0.011233982798 0.179743724767
0.0117296678121 0.0469186712486 4.58190148912e-05 0.750698739977 0.00293241695304 0.187674684994
0.0029651250333 0.0474420005328 1.15825196613e-05 0.759072008525 0.000741281258325 0.189768002131
0.000904155938645 0.0144664950183 3.53185913533e-06 0.925855681172 0.000904155938645 0.0578659800733
0.000228832747396 0.00366132395834 8.93877919517e-07 0.937298933335 0.000228832747396 0.0585811833335
